Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2015,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2016,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2014,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2020,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2022,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2021,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2005,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.06
2006,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.08
2019,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.01
2007,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.04
2008,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.04
2009,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.03
2010,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.02
2017,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2018,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2011,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.01
2012,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.01
2013,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2015,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.02
2016,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
2014,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2020,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0
2022,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0
2021,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0
2004,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
2005,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.06
2006,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.05
2001,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.15
2019,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2007,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.04
2008,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.05
2009,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2010,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
1998,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.08
2017,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2018,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2003,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
1999,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2011,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2012,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2013,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
1993,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.04
2000,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.13
2002,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.08
1992,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.11
1995,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.13
1996,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.2
1997,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.14
1994,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
1991,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
2015,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.08
2016,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.12
2014,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.09
2020,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.21
2022,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.07
2021,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.1
2004,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
2005,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.03
2006,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.02
2001,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
2019,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.1
2007,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.02
2008,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.02
2009,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.03
2010,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.09
1998,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.1
2017,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.12
2018,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.11
2003,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
1999,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
2011,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.1
2012,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.08
2013,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.08
1993,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
2000,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0
2002,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.04
1992,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.03
