Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2021,Public spending on active labour market policies,IRL,Ireland,Training,Share of GDP,0.07
2021,Public spending on active labour market policies,IRL,Ireland,Placement and related services,Share of GDP,0.01
2021,Public spending on active labour market policies,IRL,Ireland,Employment incentives,Share of GDP,1.03
2021,Public spending on active labour market policies,IRL,Ireland,Direct job creation,Share of GDP,0.09
2021,Public spending on active labour market policies,IRL,Ireland,Start-up incentives,Share of GDP,0
2022,Public spending on active labour market policies,AUT,Austria,Training,Share of GDP,0.43
2022,Public spending on active labour market policies,AUT,Austria,Placement and related services,Share of GDP,0.13
2022,Public spending on active labour market policies,AUT,Austria,Employment incentives,Share of GDP,0.11
2022,Public spending on active labour market policies,AUT,Austria,Direct job creation,Share of GDP,0.05
2022,Public spending on active labour market policies,AUT,Austria,Start-up incentives,Share of GDP,0
2022,Public spending on active labour market policies,SWE,Sweden,Training,Share of GDP,0.06
2022,Public spending on active labour market policies,SWE,Sweden,Placement and related services,Share of GDP,0.27
2022,Public spending on active labour market policies,SWE,Sweden,Employment incentives,Share of GDP,0.35
2022,Public spending on active labour market policies,SWE,Sweden,Direct job creation,Share of GDP,0
2022,Public spending on active labour market policies,SWE,Sweden,Start-up incentives,Share of GDP,0.01
2022,Public spending on active labour market policies,LUX,Luxembourg,Training,Share of GDP,0.19
2022,Public spending on active labour market policies,LUX,Luxembourg,Placement and related services,Share of GDP,0.04
2022,Public spending on active labour market policies,LUX,Luxembourg,Employment incentives,Share of GDP,0.29
2022,Public spending on active labour market policies,LUX,Luxembourg,Direct job creation,Share of GDP,0.13
2022,Public spending on active labour market policies,LUX,Luxembourg,Start-up incentives,Share of GDP,0
2022,Public spending on active labour market policies,FIN,Finland,Training,Share of GDP,0.28
2022,Public spending on active labour market policies,FIN,Finland,Placement and related services,Share of GDP,0.09
2022,Public spending on active labour market policies,FIN,Finland,Employment incentives,Share of GDP,0.06
2022,Public spending on active labour market policies,FIN,Finland,Direct job creation,Share of GDP,0.13
